country_code,year,mean_avg_welfare,median_quantile,welfare_std,welfare_iqr,total_pop,is_partial_year,bottom20_avg_welfare,bottom20_welfare_share,bottom40_welfare_share,top20_avg_welfare,top20_welfare_share,top10_avg_welfare,top10_welfare_share,p10_avg_welfare,p90_avg_welfare,top20_bottom20_ratio,p90_p10_ratio,welfare_gap,time_code,country_name,gdp_per_capita,life_expectancy,school_enrollment_secondary,population_total,electricity_access,unemployment_total,log_gdp_per_capita,date,decade,inequality_category,gdp_per_capita_norm,life_expectancy_norm,school_enrollment_secondary_norm,electricity_access_norm,development_score,development_tier
TGO,2021,5.0608584626534885,3.873808917168009,4.392728866249507,3.398326639790115,80817.64452933124,False,1.7233876278274185,0.0681065333300709,0.1780486499492347,11.449847838229816,0.4524863883360396,15.000391550275356,0.2964001396397563,1.4093831160374086,15.000391550275356,6.643802968844577,10.643232049245869,0.3843798550059687,YR2021,Togo,962.075187515872,61.328,63.0669365853803,8878379.0,55.7,2.344,6.870131485090796,2021-01-01,2020,High inequality,0.005242690392431918,0.4753506018382602,0.3116013494096637,0.5126512651265126,0.32621147669171713,Low development
THA,2019,18.593968097666266,14.53301216060208,14.034574154315255,12.60995854568492,594733.5144256783,False,7.151933142519988,0.076927454160983,0.1920999700715651,39.75901787449281,0.4276550079644701,50.60693830306729,0.2721685765902705,6.05208564560074,50.60693830306729,5.5591987623759715,8.361900552391136,0.3507275538034871,YR2019,Thailand,7605.69657797759,77.197,81.7206425877734,71522271.0,99.9,0.716,8.93678426698969,2019-01-01,2010,Medium inequality,0.054560649188722644,0.8337210090106366,0.4488397828398838,0.9988998899889989,0.5840053327570605,Medium development
THA,2020,18.99408828335166,14.9383196680738,14.155816491740527,13.041861741603062,619255.7357379532,False,7.132877641589234,0.0751062913384604,0.1901220977895695,40.58592835190343,0.4273532664105506,51.30713781853044,0.2701216139102674,5.998586072911211,51.30713781853044,5.689979611491096,8.553205237852035,0.3522469750720902,YR2020,Thailand,6985.64393892574,77.331,82.3668560969625,71641484.0,100.0,1.099,8.851755596745225,2020-01-01,2020,Medium inequality,0.04995777844894901,0.8367471375985186,0.45359408365555975,1.0,0.5850747499257568,Medium development
THA,2021,19.192564683666408,14.98300243276059,14.482919197095702,13.21091518572618,622170.1306145668,False,7.2812619496785675,0.0758758620297909,0.1911495498443767,40.967001769029096,0.42690492327889407,51.92150598037051,0.2705292744150948,6.113305298882837,51.92150598037051,5.626360107925741,8.493196960056746,0.35102906124910316,YR2021,Thailand,7057.20754802279,77.606,84.6644528199547,71727332.0,100.0,1.215,8.861946409870136,2021-01-01,2020,Medium inequality,0.050489020510669946,0.8429574761184253,0.4704978868396244,1.0,0.59098609586718,Medium development
THA,2022,21.087947192895484,16.74437735469424,15.377100901865504,14.377519388910047,622983.4289945603,False,8.113205116876488,0.0769463717133152,0.1935666691567522,44.46408860540848,0.4217014410998581,55.958537826893895,0.2653579189810686,6.854999676305975,55.958537826893895,5.4804590744190085,8.16317147618727,0.3447550693865429,YR2022,Thailand,6909.35281815827,75.291,88.0661686868399,71735329.0,99.9,0.94,8.840775974526013,2022-01-01,2020,Medium inequality,0.04939144239073612,0.7906777173053905,0.49552487914271715,0.9988998899889989,0.5836234822069606,Medium development
THA,2023,20.37688298141671,16.35045807183165,14.692968445360494,13.732847302353154,638161.6063398552,False,8.094464308809625,0.0794475221376266,0.1980935594432649,42.30105655550167,0.4151867250165735,53.222028659034095,0.2611882725516537,6.891128310206473,53.222028659034095,5.225924155285141,7.723267694813746,0.3357392028789469,YR2023,Thailand,7195.10130919449,76.412,93.3356315272258,71702435.0,100.0,0.733,8.881294673514192,2023-01-01,2020,Medium inequality,0.05151265482575827,0.8159933154174478,0.5342931981641782,1.0,0.6004497921018461,Medium development
TJK,2021,7.818088506204475,6.594094441033534,5.116806899062207,5.303232088660025,395.473798291088,False,2.9818473341933642,0.0762807259556354,0.1990650067842913,15.642006483379154,0.4001491277814384,19.19591036982832,0.2455320166124226,2.395340071343326,19.19591036982832,5.245743571110946,8.013855986245451,0.323868401825803,YR2021,Tajikistan,896.748053372182,69.594,91.2751683038557,9966908.0,99.6,7.687,6.799889464763192,2021-01-01,2020,Medium inequality,0.0047577438970455585,0.6620220862220815,0.5191340257788293,0.9955995599559956,0.545378353963488,Low development
TJK,2022,9.534494970993883,7.122040865821889,10.448565896136467,6.26190923706975,395.4594192208479,False,3.052740976527224,0.0640357142316264,0.1734863599209106,22.0439904227077,0.46240499344266617,29.840355144820535,0.3129725825605021,2.3428429079749695,29.840355144820535,7.221048425728141,12.736814339213623,0.39836927921103976,YR2022,Tajikistan,1052.17949484894,71.562,90.888637681585,10182222.0,100.0,7.051,6.959568958052582,2022-01-01,2020,High inequality,0.0059115666355604776,0.7064655269754521,0.5162902553738259,1.0,0.5571668372462096,Low development
TJK,2023,9.773932646892588,7.602654753991873,10.029752390329836,6.468305565333198,386488.1908270566,False,3.222427727441795,0.0659392251585913,0.1777758070622845,21.91178593533249,0.448371944578499,29.223031787029107,0.2989894942269732,2.5703799675227295,29.223031787029107,6.799775755631209,11.369148591363153,0.3824327194199077,YR2023,Tajikistan,1178.47990060249,71.79,88.4022015902249,10389799.0,100.0,7.037,7.07282885809422,2023-01-01,2020,High inequality,0.006849139359956122,0.7116144621846843,0.497997129388092,1.0,0.5541151827331832,Low development
TJK,2024,9.544276654570313,7.614289262422592,8.403179442950846,6.412007798869181,377386.4067073788,True,3.365907877839212,0.0705324876815503,0.1851934999980015,20.641414391587524,0.4325401523583004,26.894522006966874,0.2817869072779922,2.7497356263116406,26.894522006966874,6.132495344714706,9.780766467008268,0.3620076646767501,YR2024,Tajikistan,1341.20229027672,70.962,86.9035257819264,10590927.0,99.6,7.041,7.202067044082927,2024-01-01,2020,Medium inequality,0.008057085393832973,0.6929156974774734,0.48697112093034806,0.9955995599559956,0.5458858659394125,Low development
